序号,方案名称,牵头单位,批次,发布机构
1,北京市网络安全保险服务试点工作方案,北京市经济和信息化局,第二批次,工业和信息化部/国家金融监督管理总局
2,天津市网络安全保险服务试点工作方案,天津市工业和信息化局,第二批次,工业和信息化部/国家金融监督管理总局
3,河北省网络安全保险服务试点工作方案,河北省工业和信息化厅、河北省通信管理局,第二批次,工业和信息化部/国家金融监督管理总局
4,上海市网络安全保险服务试点工作方案,上海市经济和信息化委员会,第二批次,工业和信息化部/国家金融监督管理总局
5,浙江省网络安全保险服务试点工作方案,浙江省经济和信息化厅,第二批次,工业和信息化部/国家金融监督管理总局
6,江西省网络安全保险服务试点工作方案,江西省工业和信息化厅,第二批次,工业和信息化部/国家金融监督管理总局
7,山东省网络安全保险服务试点工作方案,山东省通信管理局,第二批次,工业和信息化部/国家金融监督管理总局
8,湖北省网络安全保险服务试点工作方案,湖北省经济和信息化厅,第二批次,工业和信息化部/国家金融监督管理总局
9,广东省网络安全保险服务试点工作方案,广东省通信管理局,第二批次,工业和信息化部/国家金融监督管理总局
10,云南省网络安全保险服务试点工作方案,云南省工业和信息化厅、国家金融监督管理总局云南监管局,第二批次,工业和信息化部/国家金融监督管理总局
11,大湾区医疗行业网络安全保险服务试点工作方案,中国人民财产保险股份有限公司,第二批次,工业和信息化部/国家金融监督管理总局
12,面向创新型网络安全产品的保险服务工作方案,中国人民财产保险股份有限公司,第二批次,工业和信息化部/国家金融监督管理总局
13,泉城数智园区网络安全保险服务试点工作方案,中国人民财产保险股份有限公司,第二批次,工业和信息化部/国家金融监督管理总局
14,科创园区普惠型网络安全保险服务试点工作方案,中国人民财产保险股份有限公司,第二批次,工业和信息化部/国家金融监督管理总局
15,网络安全产品类保险服务工作方案,中国人民财产保险股份有限公司,第二批次,工业和信息化部/国家金融监督管理总局
16,东莞市专精特新企业网络安全保险服务试点工作方案,中国人民财产保险股份有限公司,第二批次,工业和信息化部/国家金融监督管理总局
17,武汉光谷优势产业重点企业网络安全保险服务试点工作方案,中国人民财产保险股份有限公司,第二批次,工业和信息化部/国家金融监督管理总局
18,政务医疗行业网络安全保险服务试点工作方案,中国人民财产保险股份有限公司,第二批次,工业和信息化部/国家金融监督管理总局
19,教育行业网络安全保险服务试点工作方案,中国平安财产保险股份有限公司,第二批次,工业和信息化部/国家金融监督管理总局
20,互联网行业网络安全保险服务试点工作方案,中国平安财产保险股份有限公司,第二批次,工业和信息化部/国家金融监督管理总局
21,工控行业网络安全保险服务试点工作方案,中国人寿财产保险股份有限公司,第二批次,工业和信息化部/国家金融监督管理总局
22,基于运营商网络服务的网络安全保险服务工作方案,中国太平洋财产保险股份有限公司青岛分公司,第二批次,工业和信息化部/国家金融监督管理总局
23,工业互联网网络安全保险服务试点工作方案,华泰财产保险有限公司青岛分公司,第二批次,工业和信息化部/国家金融监督管理总局
24,交通行业网络安全保险服务试点工作方案,中华联合财产保险股份有限公司,第二批次,工业和信息化部/国家金融监督管理总局
25,发电企业网络安全保险服务试点工作方案,广东能源财产保险自保有限公司,第二批次,工业和信息化部/国家金融监督管理总局
26,网络安全综合类保险服务工作方案,申能财产保险股份有限公司,第二批次,工业和信息化部/国家金融监督管理总局
27,面向重点行业普惠型网络安全保险服务工作方案,中国移动通信集团山东有限公司,第二批次,工业和信息化部/国家金融监督管理总局
28,基于电信运营商特色的网络安全保险服务工作方案,中国移动通信集团江苏有限公司,第二批次,工业和信息化部/国家金融监督管理总局
29,网络安全反诈保险服务工作方案,联通（广东）产业互联网有限公司,第二批次,工业和信息化部/国家金融监督管理总局
30,5G工业安全网络安全保险服务工作方案,联通（广东）产业互联网有限公司,第二批次,工业和信息化部/国家金融监督管理总局
31,中小企业网络安全保险服务工作方案,联通（山西）产业互联网有限公司,第二批次,工业和信息化部/国家金融监督管理总局
32,运营商特色的网络安全保险服务工作方案,天翼安全科技有限公司,第二批次,工业和信息化部/国家金融监督管理总局
33,新能源卡车网络安全保险服务工作方案,北京启明星辰信息安全技术有限公司,第二批次,工业和信息化部/国家金融监督管理总局
34,小微企业网络安全保险服务工作方案,北京启明星辰信息安全技术有限公司,第二批次,工业和信息化部/国家金融监督管理总局
35,面向中小微企业普惠型网络安全保险服务工作方案,北京启明星辰信息安全技术有限公司,第二批次,工业和信息化部/国家金融监督管理总局
36,雄安新兴领域网络安全保险服务工作方案,天融信雄安网络安全技术有限公司,第二批次,工业和信息化部/国家金融监督管理总局
37,"""东数西算""粤港澳大湾区数据中心集群网络安全保险服务试点工作方案",广东南粤奇安科技有限公司,第二批次,工业和信息化部/国家金融监督管理总局
38,面向大型银行企业的网络安全保险服务工作方案,北京源堡科技有限公司,第二批次,工业和信息化部/国家金融监督管理总局
39,金融行业网络安全保险服务工作方案,安华信达（北京）科技有限公司,第二批次,工业和信息化部/国家金融监督管理总局
40,工业链式企业网络安全保险服务工作方案,广东哥能知识科技有限公司,第二批次,工业和信息化部/国家金融监督管理总局
41,中小企业数字化转型网络安全保险服务工作方案,济宁鲁南网络空间安全研究院,第二批次,工业和信息化部/国家金融监督管理总局
42,工业领域网络安全保险服务工作方案,广州市标准化研究院,第二批次,工业和信息化部/国家金融监督管理总局
43,烟草企业网络安全保险服务工作方案,广东烟草肇庆市有限责任公司,第二批次,工业和信息化部/国家金融监督管理总局
44,广西电信网络安全综合保险服务工作方案,中国电信股份有限公司广西分公司,第二批次,工业和信息化部/国家金融监督管理总局
45,京能集团网络安全保险服务工作方案,北京京能信息技术有限公司,第二批次,工业和信息化部/国家金融监督管理总局
46,铁矿开采企业网络安全保险服务工作方案,河北钢铁集团沙河中关铁矿有限公司,第二批次,工业和信息化部/国家金融监督管理总局
47,智能制造网络安全保险服务工作方案,龙星科技集团股份有限公司,第二批次,工业和信息化部/国家金融监督管理总局
48,园区算力网络安全保险服务工作方案,天津武清经济技术开发区高村科技创新园有限公司,第二批次,工业和信息化部/国家金融监督管理总局
49,燃气设备企业网络安全保险服务工作方案,河北瑞星燃气设备股份有限公司,第二批次,工业和信息化部/国家金融监督管理总局
